date,fund_id,universe,method,periods_per_year,gross_return,turnover,trading_cost,net_return,growth_gross,growth_net,drawdown_gross,drawdown_net,is_rebalance
2022-03-03,equity_equal_weight,equity,equal_weight,252,-0.0006895492982770915,0,0,-0.0006895492982770915,1.254396187163521,1.252657212557219,-0.03035842003424183,-0.03038597326193226,False
2022-03-03,equity_max_sharpe,equity,max_sharpe,252,0.001129431119056976,0,0,0.001129431119056976,1.12006458725581,1.117133666361112,-0.04550943836650223,-0.04584098364718114,False
2022-03-03,equity_min_variance,equity,minimum_variance,252,0.007280959010782909,0,0,0.007280959010782909,1.119341709519721,1.117824691106457,-0.0190618041034516,-0.01912606706036313,False
2022-03-03,equity_risk_parity,equity,risk_parity,252,0.001543066111241126,0,0,0.001543066111241126,1.202703024197551,1.201072471427942,-0.03431127717028748,-0.03436994082754619,False
2022-03-03,equity_risk_parity_sentiment,equity,risk_parity_sentiment,252,0.001422990626110305,0,0,0.001422990626110305,1.197056844925593,1.195185424678094,-0.03449127239705874,-0.0345789838596966,False
2022-03-04,combined_equal_weight,combined,equal_weight,252,-0.008975721310217627,0,0,-0.008975721310217627,1.375508657384477,1.373281588226299,-0.09727203895188941,-0.09742662287624382,False
2022-03-04,combined_max_sharpe,combined,max_sharpe,252,-0.004355962860872618,0,0,-0.004355962860872618,1.233482945360311,1.230053176519327,-0.08779294549523364,-0.08879859448234362,False
2022-03-04,combined_min_variance,combined,minimum_variance,252,0.006748671946954872,0,0,0.006748671946954872,1.116125475840843,1.114599557095834,-0.01198890752283033,-0.01204373324428076,False
2022-03-04,combined_risk_parity,combined,risk_parity,252,-0.002454332869560477,0,0,-0.002454332869560477,1.310519962315947,1.308543152971119,-0.05271011259366842,-0.05283993215333493,False
2022-03-04,crypto_equal_weight,crypto,equal_weight,365,-0.06971800084746511,0,0,-0.06971800084746511,2.618091679932936,2.612747834300735,-0.6460068023524954,-0.6461929965658756,False
2022-03-04,crypto_max_sharpe,crypto,max_sharpe,365,-0.07417776397914197,0,0,-0.07417776397914197,3.043293097389025,3.037227333255347,-0.4935296083154448,-0.4935947412699087,False
2022-03-04,crypto_min_variance,crypto,minimum_variance,365,-0.06797931687181391,0,0,-0.06797931687181391,2.857435432691481,2.850640931265075,-0.4774731512718746,-0.4775451551749003,False
2022-03-04,crypto_risk_parity,crypto,risk_parity,365,-0.06971800084746511,0,0,-0.06971800084746511,2.4564426870056,2.451397372668734,-0.6452039363754547,-0.6453848332823624,False
2022-03-04,equity_equal_weight,equity,equal_weight,252,0.00267794882805562,0,0,0.00267794882805562,1.257755395962854,1.256011764471542,-0.0277617695015383,-0.02778939651536261,False
2022-03-04,equity_max_sharpe,equity,max_sharpe,252,0.004473242430011014,0,0,0.004473242430011014,1.125074907691875,1.122130876077472,-0.04123977068715823,-0.04157279905025424,False
2022-03-04,equity_min_variance,equity,minimum_variance,252,0.008253572213941409,0,0,0.008253572213941409,1.128580277151318,1.12705073791703,-0.01096555986620606,-0.01103035322207313,False
2022-03-04,equity_risk_parity,equity,risk_parity,252,0.003435404088001382,0,0,0.003435404088001382,1.206834795083531,1.205198640706272,-0.03099374618414152,-0.03105261137476811,False
2022-03-04,equity_risk_parity_sentiment,equity,risk_parity_sentiment,252,0.003399833707341126,0,0,0.003399833707341126,1.201126639136574,1.199248856371437,-0.03120870328022241,-0.03129671294724723,False
